epoch,train_loss,val_loss,lr,c_global,c_meso,c_local
1,0.6686760602678572,0.5852855430407957,0.0002,0.5002985000610352,1.0008645057678223,1.9981813430786133
2,0.40129308087485177,0.49343257465145807,0.0004,0.5009999871253967,0.9998655319213867,1.9980394840240479
3,0.331672385931015,0.4531487632881511,0.0006,0.502083957195282,0.999913215637207,1.9978686571121216
4,0.3121841445990971,0.4445828653194688,0.0008,0.5033017992973328,1.0001494884490967,1.9978301525115967
5,0.3052919341836657,0.4319405020637946,0.001,0.5045609474182129,0.9999727010726929,1.9975061416625977
6,0.300469286101205,0.4369595538486134,0.0009987820251299122,0.5059095025062561,0.9995486736297607,1.9973728656768799
7,0.2968013790675572,0.423711744221774,0.0009951340343707852,0.5072502493858337,0.9992316961288452,1.997140884399414
8,0.2934784322125571,0.4249085499481721,0.0009890738003669028,0.508448600769043,0.9991668462753296,1.9970322847366333
9,0.291470433814185,0.4186516397378661,0.0009806308479691594,0.5096790790557861,0.9990485906600952,1.9968688488006592
10,0.2890622513634818,0.4148958575996486,0.0009698463103929542,0.5107944011688232,0.9989479780197144,1.9966919422149658
11,0.28801323873656137,0.4248473203995011,0.0009567727288213005,0.5120090842247009,0.9990547895431519,1.9965091943740845
12,0.28714826498712814,0.4245248315009204,0.0009414737964294635,0.5131264925003052,0.9989087581634521,1.9963558912277222
13,0.2862006432669503,0.41916750506921246,0.0009240240480782129,0.5143586993217468,0.9988348484039307,1.996252179145813
14,0.2847956199305398,0.42200408334081824,0.0009045084971874737,0.515346884727478,0.9989035129547119,1.996105432510376
15,0.2842031163828714,0.4136338626796549,0.000883022221559489,0.5164667367935181,0.9989114999771118,1.995924472808838
16,0.28323003768920896,0.4112417603080923,0.0008596699001693256,0.5174864530563354,0.9988322257995605,1.9958622455596924
17,0.2811275007043566,0.4118271896784956,0.0008345653031794292,0.5183425545692444,0.9987674951553345,1.9958181381225586
18,0.28129462548664635,0.41201669655062934,0.0008078307376628291,0.5193091034889221,0.9988486766815186,1.9957027435302734
19,0.2799053720065526,0.420535298911008,0.0007795964517353734,0.5200897455215454,0.9987612366676331,1.9956575632095337
20,0.27963166083608354,0.41864676705815573,0.00075,0.5209581851959229,0.9987236261367798,1.9955577850341797
