epoch,train_loss,val_loss,lr,c_global,c_meso,c_local
1,0.49326265849907636,0.4601301539864316,0.0002,0.5006872415542603,1.000785231590271,1.999190330505371
2,0.4449373333596847,0.4490985023795358,0.0004,0.5022207498550415,1.0010603666305542,1.9989207983016968
3,0.4391643908137167,0.4489291332312078,0.0006,0.504988431930542,0.9979372024536133,1.9984687566757202
4,0.4346100753829093,0.44135505841082373,0.0008,0.5085207223892212,0.9976842999458313,1.9972044229507446
5,0.4313355995420839,0.4613953499786006,0.001,0.5138177871704102,0.9967414736747742,1.9961671829223633
6,0.4270331946949304,0.45087921149378657,0.0009987820251299122,0.518369197845459,0.9971387386322021,1.993767261505127
7,0.42297684608525793,0.44859079766593524,0.0009951340343707852,0.5225497484207153,0.9967042207717896,1.9932563304901123
8,0.41938840941539113,0.4489411433671145,0.0009890738003669028,0.5260769128799438,0.9965775012969971,1.9914048910140991
9,0.4160277236935119,0.44625658936948587,0.0009806308479691594,0.5285161733627319,0.9969356060028076,1.9885106086730957
10,0.4126304432382466,0.4488422548610892,0.0009698463103929542,0.5330227613449097,0.9971602559089661,1.9888532161712646
11,0.40954990984058715,0.44969755756174956,0.0009567727288213005,0.5373262763023376,0.9965840578079224,1.9890077114105225
12,0.4070208694287379,0.4537917117544469,0.0009414737964294635,0.5396239757537842,0.9965772032737732,1.9856153726577759
13,0.4034671262693657,0.4518462098484871,0.0009240240480782129,0.5426446199417114,0.9961349368095398,1.9855581521987915
14,0.400711751516751,0.45642447076587866,0.0009045084971874737,0.5434278249740601,0.9966672658920288,1.982284665107727
15,0.3975808718044993,0.46151140177209904,0.000883022221559489,0.5446881055831909,0.9961773157119751,1.9811689853668213
16,0.39327603115529663,0.4520931037380391,0.0008596699001693256,0.5449925065040588,0.9963294863700867,1.9809662103652954
17,0.3899325183133634,0.46843948590275425,0.0008345653031794292,0.5452426671981812,0.9962180852890015,1.9808950424194336
18,0.38612475532146406,0.4614156011066981,0.0008078307376628291,0.5450090169906616,0.9963734149932861,1.9811030626296997
19,0.38296236865169986,0.4618276819186723,0.0007795964517353734,0.5453036427497864,0.9959884285926819,1.980623483657837
1,0.49326265849907636,0.4601301539864316,0.0002,0.5006872415542603,1.000785231590271,1.999190330505371
2,0.4449373333596847,0.4490985023795358,0.0004,0.5022207498550415,1.0010603666305542,1.9989207983016968
3,0.4391643908137167,0.4489291332312078,0.0006,0.504988431930542,0.9979372024536133,1.9984687566757202
4,0.4346100753829093,0.44135505841082373,0.0008,0.5085207223892212,0.9976842999458313,1.9972044229507446
5,0.4313355995420839,0.4613953499786006,0.001,0.5138177871704102,0.9967414736747742,1.9961671829223633
6,0.4270331946949304,0.45087921149378657,0.0009987820251299122,0.518369197845459,0.9971387386322021,1.993767261505127
7,0.42297684608525793,0.44859079766593524,0.0009951340343707852,0.5225497484207153,0.9967042207717896,1.9932563304901123
8,0.41938840941539113,0.4489411433671145,0.0009890738003669028,0.5260769128799438,0.9965775012969971,1.9914048910140991
9,0.4160277236935119,0.44625658936948587,0.0009806308479691594,0.5285161733627319,0.9969356060028076,1.9885106086730957
10,0.4126304432382466,0.4488422548610892,0.0009698463103929542,0.5330227613449097,0.9971602559089661,1.9888532161712646
11,0.40954990984058715,0.44969755756174956,0.0009567727288213005,0.5373262763023376,0.9965840578079224,1.9890077114105225
12,0.4070208694287379,0.4537917117544469,0.0009414737964294635,0.5396239757537842,0.9965772032737732,1.9856153726577759
13,0.4034671262693657,0.4518462098484871,0.0009240240480782129,0.5426446199417114,0.9961349368095398,1.9855581521987915
14,0.400711751516751,0.45642447076587866,0.0009045084971874737,0.5434278249740601,0.9966672658920288,1.982284665107727
15,0.3975808718044993,0.46151140177209904,0.000883022221559489,0.5446881055831909,0.9961773157119751,1.9811689853668213
16,0.39327603115529663,0.4520931037380391,0.0008596699001693256,0.5449925065040588,0.9963294863700867,1.9809662103652954
17,0.3899325183133634,0.46843948590275425,0.0008345653031794292,0.5452426671981812,0.9962180852890015,1.9808950424194336
18,0.38612475532146406,0.4614156011066981,0.0008078307376628291,0.5450090169906616,0.9963734149932861,1.9811030626296997
19,0.38296236865169986,0.4618276819186723,0.0007795964517353734,0.5453036427497864,0.9959884285926819,1.980623483657837
