epoch,train_loss,val_loss,lr,c_global,c_meso,c_local
1,0.5463007296513355,0.4017460044887331,0.0002,0.5006104707717896,1.0007354021072388,1.998332142829895
2,0.4680110545492558,0.38558500442239974,0.0004,0.5014880895614624,1.0010707378387451,1.9975292682647705
3,0.4547929646512569,0.3847345285945468,0.0006,0.5027129054069519,1.0005782842636108,1.9970524311065674
4,0.4437159064484414,0.3858450301819377,0.0008,0.5043063163757324,1.0003244876861572,1.9961795806884766
5,0.43254731888719644,0.4118784341547224,0.001,0.5064064860343933,0.9994471073150635,1.994956374168396
6,0.4162770122530647,0.38995196604066423,0.0009987820251299122,0.5065605044364929,0.9998583197593689,1.9939380884170532
7,0.3947873134015384,0.4292335162560145,0.0009951340343707852,0.5067054033279419,0.999959409236908,1.9935353994369507
8,0.37410675780471125,0.3912856072187424,0.0009890738003669028,0.5067161917686462,1.0000818967819214,1.9933726787567139
9,0.35888851315506065,0.3903712338871426,0.0009806308479691594,0.5067249536514282,1.0004549026489258,1.9930061101913452
10,0.3459135187925354,0.4246009632945061,0.0009698463103929542,0.5067337155342102,1.0005860328674316,1.9928014278411865
11,0.33734211357777333,0.4038425991932551,0.0009567727288213005,0.506742537021637,1.0009504556655884,1.992638111114502
12,0.32947037636109117,0.39842905352513,0.0009414737964294635,0.506751298904419,1.0013998746871948,1.9923955202102661
13,0.32187139722857516,0.4087510304318534,0.0009240240480782129,0.5067600607872009,1.001746416091919,1.992283821105957
14,0.3167164532964763,0.3927685168054369,0.0009045084971874737,0.5067688226699829,1.002302646636963,1.9920432567596436
15,0.3117036311774241,0.39213355382283527,0.000883022221559489,0.506775438785553,1.0027954578399658,1.9919788837432861
16,0.30685724514835283,0.39862576027711233,0.0008596699001693256,0.5067797899246216,1.0031317472457886,1.991762399673462
17,0.3022382613622917,0.3927707337670856,0.0008345653031794292,0.5067828893661499,1.0034308433532715,1.991705060005188
18,0.29885953608548865,0.40080136557420093,0.0008078307376628291,0.506783127784729,1.0038944482803345,1.9915547370910645
