epoch,train_loss,val_loss,lr,c_global,c_meso,c_local
1,0.43515065932273866,0.3686773422725347,0.0002,0.5004022121429443,0.9990824460983276,1.9983222484588623
2,0.3413197194735209,0.3588293584025636,0.0004,0.500340461730957,0.9992892742156982,1.9973299503326416
3,0.3264841298262278,0.34561490723673177,0.0006,0.5003460049629211,0.9997493028640747,1.9967283010482788
4,0.31873090608914695,0.3452214779598372,0.0008,0.500350832939148,0.9995701313018799,1.9964169263839722
5,0.3127384275595347,0.3398763452257429,0.001,0.5003575682640076,0.9995914697647095,1.9959118366241455
6,0.3071070822874705,0.32809366589906264,0.0009987820251299122,0.5003663301467896,0.9993914365768433,1.9954380989074707
7,0.30099753284454345,0.3387947757633365,0.0009951340343707852,0.5003751516342163,0.9996004700660706,1.9950425624847412
8,0.2938955702781677,0.33085569617699606,0.0009890738003669028,0.5003839731216431,0.9999123811721802,1.994745135307312
9,0.2854012745221456,0.3329687454566664,0.0009806308479691594,0.5003927946090698,0.9997948408126831,1.9944332838058472
10,0.27688218812147775,0.3704410701686022,0.0009698463103929542,0.5004015564918518,1.0003161430358887,1.9941374063491821
11,0.26850107220808667,0.3344312635611515,0.0009567727288213005,0.5004103779792786,1.0004181861877441,1.9939146041870117
12,0.26116684353351594,0.34998904351069005,0.0009414737964294635,0.5004191398620605,1.0007624626159668,1.9936176538467407
13,0.25302962005138396,0.3397851156032815,0.0009240240480782129,0.5004279613494873,1.001151204109192,1.9934608936309814
14,0.24721020098527272,0.35279807585234546,0.0009045084971874737,0.5004370808601379,1.0017201900482178,1.9931648969650269
15,0.24108837604522704,0.3514215154003124,0.000883022221559489,0.5004492998123169,1.0022742748260498,1.9929900169372559
16,0.23520954171816508,0.3372703995935771,0.0008596699001693256,0.5004733800888062,1.0028499364852905,1.992999792098999
17,0.22964915335178376,0.35438917881372023,0.0008345653031794292,0.5001150369644165,1.0033248662948608,1.9928492307662964
18,0.22588845630486806,0.3704027665817008,0.0008078307376628291,0.4992428421974182,1.0036715269088745,1.992688536643982
19,0.22089577289422352,0.35582249824489864,0.0007795964517353734,0.4991251230239868,1.0042266845703125,1.9925824403762817
20,0.2164374488592148,0.36902751925648475,0.00075,0.4988720417022705,1.0046186447143555,1.9923925399780273
21,0.2133970667918523,0.3666118876058228,0.0007191855733945387,0.49831482768058777,1.004779577255249,1.9923774003982544
