epoch,train_loss,val_loss,lr,c_global,c_meso,c_local
1,1.0341749497509878,1.6191327492396037,0.0005,0.49989914894104004,1.0000306367874146,1.9983150959014893
2,0.8929642657621191,1.6875989278157553,0.001,0.4998939633369446,0.9999105930328369,1.9955452680587769
3,0.8307245089373457,1.787403436501821,0.0009989294616193018,0.4998965263366699,1.000260829925537,1.9951647520065308
4,0.7836119423218824,2.194727591673533,0.0009957224306869053,0.4998990595340729,1.0005443096160889,1.9946484565734863
5,0.7393791478708249,2.3789252797762552,0.0009903926402016153,0.4999016225337982,1.0003281831741333,1.9944109916687012
6,0.6926715270094915,2.3957554419835407,0.0009829629131445341,0.49990421533584595,0.9997557401657104,1.994235873222351
7,0.6678173946678092,2.341360020637512,0.0009734650647475529,0.4999067783355713,0.9995221495628357,1.9939615726470947
8,0.661280698185667,2.234605566660563,0.0009619397662556434,0.49990934133529663,0.9995335340499878,1.9937764406204224
9,0.6394395598577797,2.540842513243357,0.0009484363707663442,0.499911904335022,0.9993923306465149,1.9936715364456177
10,0.5984160194703199,2.7132383664449056,0.0009330127018922195,0.49991440773010254,0.9997535943984985,1.993432879447937
11,0.5800033627300087,3.0438671668370563,0.0009157348061512727,0.49991700053215027,0.9999014139175415,1.9932172298431396
12,0.5563967889602032,3.0917284806569416,0.0008966766701456176,0.4999195635318756,1.0000051259994507,1.9932843446731567
13,0.5409537750646609,2.9168854077657063,0.0008759199037394887,0.49992096424102783,0.9996110200881958,1.993091106414795
14,0.5314381945570674,3.0869461059570313,0.0008535533905932737,0.4999222755432129,0.9993921518325806,1.9928582906723022
15,0.5176960311898398,2.967649801572164,0.0008296729075500344,0.4999235272407532,0.9999186992645264,1.9927898645401
16,0.49272617232908894,3.104325207074483,0.0008043807145043603,0.49992480874061584,0.999775767326355,1.9927177429199219
17,0.48545209065489814,3.166513140996297,0.0007777851165098011,0.4999260902404785,0.9998558759689331,1.9926587343215942
18,0.47594327882889215,2.862564754486084,0.00075,0.4999273717403412,0.9995690584182739,1.992632508277893
19,0.4561368555103967,3.32075834274292,0.0007211443451095007,0.49992868304252625,0.9998599290847778,1.9924463033676147
20,0.44291847069329077,3.0056916077931723,0.000691341716182545,0.49992993474006653,0.9997904300689697,1.992444396018982
21,0.42706179400102806,2.607342267036438,0.0006607197326515808,0.4999312460422516,0.9997985363006592,1.9925142526626587
1,0.8558003409464556,inf,0.0005,0.4998927414417267,1.0000410079956055,1.9975316524505615
2,0.7777936288288662,inf,0.001,0.4999226927757263,1.0005536079406738,1.995051622390747
3,0.7466925889029539,inf,0.0009989294616193018,0.4999333322048187,1.0006502866744995,1.9939643144607544
4,0.7196350205213504,inf,0.0009957224306869053,0.49995025992393494,1.000446081161499,1.9930833578109741
5,0.6835638952434511,inf,0.0009903926402016153,0.49995338916778564,1.0004453659057617,1.992638111114502
6,0.6790767280679,inf,0.0009829629131445341,0.49995648860931396,1.0005123615264893,1.9921501874923706
7,0.6341696014081625,inf,0.0009734650647475529,0.4999595880508423,1.0006219148635864,1.9915838241577148
8,0.6123997938812227,inf,0.0009619397662556434,0.4999627470970154,1.000509262084961,1.9914242029190063
9,0.5895539074015796,inf,0.0009484363707663442,0.4999658465385437,1.0004478693008423,1.99098801612854
10,0.5793223775419077,inf,0.0009330127018922195,0.4999690055847168,1.0008141994476318,1.9908078908920288
11,0.5545072864769096,inf,0.0009157348061512727,0.4999721050262451,1.0007416009902954,1.990462064743042
12,0.5250816703739023,inf,0.0008966766701456176,0.49997520446777344,1.000859022140503,1.9902095794677734
13,0.5118552235732401,inf,0.0008759199037394887,0.4999769926071167,1.0010052919387817,1.9901349544525146
14,0.4943208835626903,inf,0.0008535533905932737,0.49997854232788086,1.0009040832519531,1.9899301528930664
15,0.4744573051768138,inf,0.0008296729075500344,0.499980092048645,1.0009984970092773,1.9898914098739624
16,0.4486925832759169,inf,0.0008043807145043603,0.4999816417694092,1.0009491443634033,1.9894980192184448
17,0.4300788932276848,inf,0.0007777851165098011,0.49998319149017334,1.0012245178222656,1.9893625974655151
18,0.40963106988964226,inf,0.00075,0.4999848008155823,1.001310110092163,1.9894042015075684
19,0.3913517002772568,inf,0.0007211443451095007,0.49998635053634644,1.0013320446014404,1.9892356395721436
20,0.3823621398524234,inf,0.000691341716182545,0.4999879002571106,1.001274585723877,1.9891142845153809
